94908KDBQ DBQ20091201000010012/01/09 00:00:49  5-MIN KDBQ 010600Z AUTO 22007KT 10SM CLR 00/M02 A2982 1180 88 -300 220/07 RMK AO2
94908KDBQ DBQ20091201000510512/01/09 00:05:31  5-MIN KDBQ 010605Z AUTO 22008KT 10SM CLR 01/M02 A2981 1180 85 -200 220/08 RMK AO2 TSNO
94908KDBQ DBQ20091201001010512/01/09 00:10:31  5-MIN KDBQ 010610Z AUTO 22007KT 10SM CLR 01/M02 A2981 1180 85 -200 220/07 RMK AO2 TSNO
94908KDBQ DBQ20091201001510512/01/09 00:15:31  5-MIN KDBQ 010615Z AUTO 22007KT 10SM CLR 01/M02 A2981 1180 85 -200 220/07 RMK AO2 TSNO
94908KDBQ DBQ20091201002010512/01/09 00:20:31  5-MIN KDBQ 010620Z AUTO 22008KT 10SM CLR 01/M02 A2981 1180 85 -200 220/08 RMK AO2 TSNO
94908KDBQ DBQ20091201002510012/01/09 00:25:31  5-MIN KDBQ 010625Z AUTO 22007KT 10SM CLR 01/M02 A2981 1180 85 -200 220/07 RMK AO2
94908KDBQ DBQ20091201003010012/01/09 00:30:31  5-MIN KDBQ 010630Z AUTO 21008KT 10SM CLR 01/M02 A2981 1180 85 -200 210/08 RMK AO2
94908KDBQ DBQ20091201003510012/01/09 00:35:31  5-MIN KDBQ 010635Z AUTO 22008KT 10SM CLR 01/M02 A2981 1180 85 -200 220/08 RMK AO2
94908KDBQ DBQ20091201004010012/01/09 00:40:31  5-MIN KDBQ 010640Z AUTO 22008KT 10SM CLR 01/M02 A2981 1180 85 -200 220/08 RMK AO2
94908KDBQ DBQ20091201004510012/01/09 00:45:31  5-MIN KDBQ 010645Z AUTO 22007KT 10SM CLR 01/M02 A2981 1180 85 -200 220/07 RMK AO2
94908KDBQ DBQ20091201005011712/01/09 00:50:31  5-MIN KDBQ 010650Z AUTO 22007KT 10SM CLR 01/M02 A2981 1180 85 -200 220/07 RMK AO2 SLP104 T00061017
94908KDBQ DBQ20091201005510012/01/09 00:55:31  5-MIN KDBQ 010655Z AUTO 23007KT 10SM CLR 00/M02 A2981 1180 88 -300 220/07 RMK AO2
94908KDBQ DBQ20091201010010012/01/09 01:00:31  5-MIN KDBQ 010700Z AUTO 23007KT 10SM CLR 00/M02 A2981 1180 88 -300 230/07 RMK AO2
94908KDBQ DBQ20091201010510012/01/09 01:05:31  5-MIN KDBQ 010705Z AUTO 22007KT 10SM CLR 00/M02 A2981 1180 88 -300 220/07 RMK AO2
94908KDBQ DBQ20091201011010012/01/09 01:10:31  5-MIN KDBQ 010710Z AUTO 22008KT 10SM CLR 00/M02 A2981 1180 88 -300 220/08 RMK AO2
94908KDBQ DBQ20091201011510012/01/09 01:15:31  5-MIN KDBQ 010715Z AUTO 22007KT 10SM CLR 00/M02 A2981 1180 88 -300 220/07 RMK AO2
94908KDBQ DBQ20091201012010012/01/09 01:20:31  5-MIN KDBQ 010720Z AUTO 22007KT 10SM CLR 00/M02 A2981 1180 88 -300 220/07 RMK AO2
94908KDBQ DBQ20091201012510012/01/09 01:25:31  5-MIN KDBQ 010725Z AUTO 22007KT 10SM CLR 00/M02 A2981 1180 88 -300 220/07 RMK AO2
94908KDBQ DBQ20091201013010012/01/09 01:30:31  5-MIN KDBQ 010730Z AUTO 22007KT 10SM CLR 00/M02 A2981 1180 88 -300 220/07 RMK AO2
94908KDBQ DBQ20091201013510112/01/09 01:35:31  5-MIN KDBQ 010735Z AUTO 22007KT 10SM CLR M01/M02 A2981 1180 88 -300 220/07 RMK AO2
94908KDBQ DBQ20091201014010112/01/09 01:40:31  5-MIN KDBQ 010740Z AUTO 22007KT 10SM CLR M01/M02 A2981 1180 88 -300 220/07 RMK AO2
94908KDBQ DBQ20091201014510112/01/09 01:45:31  5-MIN KDBQ 010745Z AUTO 21007KT 10SM CLR M01/M02 A2981 1180 88 -300 210/07 RMK AO2
94908KDBQ DBQ20091201015011812/01/09 01:50:31  5-MIN KDBQ 010750Z AUTO 21007KT 10SM CLR M01/M02 A2981 1180 88 -300 210/07 RMK AO2 SLP104 T10061022
94908KDBQ DBQ20091201015510112/01/09 01:55:31  5-MIN KDBQ 010755Z AUTO 20007KT 10SM CLR M01/M02 A2981 1180 88 -300 200/07 RMK AO2
94908KDBQ DBQ20091201020010112/01/09 02:00:31  5-MIN KDBQ 010800Z AUTO 20008KT 10SM CLR M01/M02 A2981 1180 88 -300 200/08 RMK AO2
94908KDBQ DBQ20091201020510112/01/09 02:05:31  5-MIN KDBQ 010805Z AUTO 20008KT 10SM CLR M01/M02 A2981 1180 88 -300 200/08 RMK AO2
94908KDBQ DBQ20091201021010112/01/09 02:10:31  5-MIN KDBQ 010810Z AUTO 20008KT 10SM CLR M01/M02 A2981 1180 88 -300 200/08 RMK AO2
94908KDBQ DBQ20091201021510112/01/09 02:15:31  5-MIN KDBQ 010815Z AUTO 20008KT 10SM CLR M01/M02 A2981 1180 92 -400 200/08 RMK AO2
94908KDBQ DBQ20091201022010112/01/09 02:20:31  5-MIN KDBQ 010820Z AUTO 20008KT 10SM CLR M01/M02 A2981 1180 88 -300 200/08 RMK AO2
94908KDBQ DBQ20091201022510112/01/09 02:25:31  5-MIN KDBQ 010825Z AUTO 20008KT 10SM CLR M01/M02 A2981 1180 88 -300 200/08 RMK AO2
94908KDBQ DBQ20091201023010112/01/09 02:30:31  5-MIN KDBQ 010830Z AUTO 20008KT 10SM CLR M01/M02 A2980 1190 88 -300 200/08 RMK AO2
94908KDBQ DBQ20091201023510112/01/09 02:35:31  5-MIN KDBQ 010835Z AUTO 20008KT 10SM CLR M01/M02 A2980 1190 88 -300 200/08 RMK AO2
94908KDBQ DBQ20091201024010112/01/09 02:40:31  5-MIN KDBQ 010840Z AUTO 20008KT 10SM CLR M01/M02 A2980 1190 88 -300 200/08 RMK AO2
94908KDBQ DBQ20091201024510112/01/09 02:45:31  5-MIN KDBQ 010845Z AUTO 20008KT 10SM CLR M01/M02 A2980 1190 88 -300 200/08 RMK AO2
94908KDBQ DBQ20091201025012412/01/09 02:50:31  5-MIN KDBQ 010850Z AUTO 21007KT 10SM CLR M01/M02 A2980 1190 88 -300 210/07 RMK AO2 SLP101 T10061022 50000
94908KDBQ DBQ20091201025510112/01/09 02:55:31  5-MIN KDBQ 010855Z AUTO 21007KT 10SM CLR M01/M02 A2980 1190 88 -300 210/07 RMK AO2
94908KDBQ DBQ20091201030010112/01/09 03:00:31  5-MIN KDBQ 010900Z AUTO 21008KT 10SM CLR M01/M02 A2980 1190 88 -300 210/08 RMK AO2
94908KDBQ DBQ20091201030510112/01/09 03:05:31  5-MIN KDBQ 010905Z AUTO 21007KT 10SM CLR M01/M02 A2980 1190 88 -300 210/07 RMK AO2
94908KDBQ DBQ20091201031010112/01/09 03:10:31  5-MIN KDBQ 010910Z AUTO 21007KT 10SM CLR M01/M02 A2980 1190 88 -300 210/07 RMK AO2
94908KDBQ DBQ20091201031510112/01/09 03:15:31  5-MIN KDBQ 010915Z AUTO 21007KT 10SM CLR M01/M02 A2980 1190 88 -300 210/07 RMK AO2
