94908KDBQ DBQ20110501000010305/01/11 00:00:49  5-MIN KDBQ 010600Z AUTO 29005KT 10SM CLR 09/04 A2979 1200 71 900 290/05 RMK AO2 TSNO
94908KDBQ DBQ20110501000509805/01/11 00:05:31  5-MIN KDBQ 010605Z AUTO 29006KT 10SM CLR 09/04 A2979 1200 73 800 290/06 RMK AO2
94908KDBQ DBQ20110501001009805/01/11 00:10:31  5-MIN KDBQ 010610Z AUTO 29007KT 10SM CLR 09/04 A2980 1190 71 800 290/07 RMK AO2
94908KDBQ DBQ20110501001509805/01/11 00:15:33  5-MIN KDBQ 010615Z AUTO 30008KT 10SM CLR 09/04 A2980 1190 71 800 300/08 RMK AO2
94908KDBQ DBQ20110501002009805/01/11 00:20:31  5-MIN KDBQ 010620Z AUTO 30007KT 10SM CLR 08/04 A2980 1190 76 700 300/07 RMK AO2
94908KDBQ DBQ20110501002509805/01/11 00:25:31  5-MIN KDBQ 010625Z AUTO 30008KT 10SM CLR 08/04 A2980 1190 73 700 300/08 RMK AO2
94908KDBQ DBQ20110501003009805/01/11 00:30:31  5-MIN KDBQ 010630Z AUTO 31009KT 10SM CLR 08/04 A2980 1190 73 700 300/09 RMK AO2
94908KDBQ DBQ20110501003509805/01/11 00:35:31  5-MIN KDBQ 010635Z AUTO 30010KT 10SM CLR 08/04 A2981 1180 73 700 300/10 RMK AO2
94908KDBQ DBQ20110501004010405/01/11 00:40:31  5-MIN KDBQ 010640Z AUTO 31013G18KT 10SM CLR 09/04 A2981 1180 71 800 310/13G18 RMK AO2
94908KDBQ DBQ20110501004510405/01/11 00:45:31  5-MIN KDBQ 010645Z AUTO 31012G20KT 10SM CLR 09/03 A2981 1180 68 800 310/12G20 RMK AO2
94908KDBQ DBQ20110501005012105/01/11 00:50:31  5-MIN KDBQ 010650Z AUTO 31010G20KT 10SM CLR 09/03 A2982 1170 65 800 310/10G20 RMK AO2 SLP096 T00890028
94908KDBQ DBQ20110501005510405/01/11 00:55:31  5-MIN KDBQ 010655Z AUTO 30008G19KT 10SM CLR 08/03 A2982 1170 68 700 300/08G19 RMK AO2
